"GDP, current prices (Billions of U.S. dollars)",1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
China,307.683,316.666,312.616,303.34,330.303,411.923,461.066,398.623,415.604,495.671,623.054,566.471,736.87,867.224,965.32,1032.576,1097.133,1214.912,1344.097,1477.483,1671.072,1966.223,2308.786,2774.308,3571.451,4604.285,5121.681,6066.351,7522.103,8570.348,9635.025,10534.526
Colombia,54.249,53.581,48.877,48.944,50.948,54.925,55.384,56.412,58.308,68.997,78.195,98.26,111.237,116.838,128.267,118.442,103.761,99.875,98.201,97.946,94.645,117.092,146.547,162.766,207.465,244.302,233.893,286.954,335.437,369.43,380.17,378.323
Comoros,0.122,0.118,0.12,0.162,0.196,0.207,0.199,0.25,0.26,0.281,0.278,0.186,0.232,0.23,0.212,0.216,0.223,0.202,0.22,0.252,0.325,0.363,0.388,0.404,0.466,0.533,0.537,0.544,0.611,0.596,0.658,0.685
"Congo, Republic",52.378,34.951,31.943,35.84,33.932,39.314,40.006,41.448,40.25,36.333,47.45,25.746,25.021,32.099,28.819,21.089,19.147,19.077,8.173,8.719,8.954,10.341,11.951,14.296,16.364,19.129,18.315,20.641,24.575,27.566,32.676,35.918
"Congo, Democrat",1.354,1.245,1.276,1.746,2.121,2.257,2.384,2.799,2.725,2.933,2.684,1.769,2.116,2.54,2.323,1.949,2.357,3.22,2.794,3.02,3.503,4.655,6.098,7.738,7.446,10.224,9.363,12.304,14.811,13.664,14.026,14.099
Congo,53.732,36.196,33.219,37.586,36.053,41.571,42.39,44.247,42.975,39.266,50.134,27.515,27.137,34.639,31.142,23.038,21.504,22.297,10.967,11.739,12.457,14.996,18.049,22.034,23.81,29.353,27.678,32.945,39.386,41.23,46.702,50.017
Costa Rica,3.15,3.664,3.926,4.408,4.537,4.618,5.23,5.716,7.238,8.578,9.586,10.473,11.545,11.64,12.568,13.634,14.211,14.965,15.93,16.525,17.22,18.562,19.994,22.659,26.856,30.844,30.826,37.634,42.717,46.984,50.326,51.26
Croatia,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.247,12.968,17.349,22.388,23.601,23.974,25.346,23.374,21.774,23.289,26.878,34.659,41.574,45.416,50.436,60.081,70.452,62.636,59.665,62.237,56.486,57.77,57.08
Cyprus,2.321,2.447,2.611,3.317,3.979,4.589,4.901,6.003,6.195,7.424,7.098,8.004,9.937,10.016,9.545,10.256,10.502,9.988,10.396,11.422,14.552,17.328,18.713,20.422,24.083,27.972,26.008,25.608,27.454,25.026,24.064,23.345
Côte d'Ivoire,6.768,6.736,6.907,9.186,10.097,10.214,9.767,10.822,10.53,11.178,11.056,8.329,11.007,12.139,11.735,12.627,12.393,10.748,11.202,12.39,15.336,16.576,17.115,17.817,20.373,24.339,24.341,24.931,25.693,26.805,31.274,35.373
Denmark,60.65,59.115,62.682,88.103,109.433,115.568,112.436,138.258,139.265,152.961,143.21,156.181,185.042,187.644,173.558,177.005,177.961,164.188,164.82,178.648,218.139,251.37,264.489,282.895,319.424,353.359,321.243,321.995,344.003,327.149,343.584,352.297
